codigopais,nombrepais,numeropais,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,prediccion
ARG,Argentina,54,-4970,-1011,3127,5369,5801,5522,5215,4926,4690,4478,2344,6594
BOL,Bolivia,591,-12592,-12107,-11688,-11371,-10972,-10525,-10071,-9669,-9345,-8978,-4666,-6717
BRA,Brasil,55,16843,33631,43451,35308,24940,4764,82589,56362,67934,69186,56880,72841
CAN,Canada,100,227724,228828,245309,242475,195649,232738,320494,361274,417974,391914,195181,352872
CHL,Chile,56,26064,28128,30925,36566,52709,55709,126525,214697,237358,230162,98439,224446
COL,Colombia,57,-34185,-46273,-55913,-64686,-67516,-41064,79978,415618,494364,395803,229437,437524
CRI,Costa Rica,506,4728,4258,3983,3950,3996,4065,4150,4196,4198,4154,2084,3305
CUB,Cuba,53,-27718,-28752,-17531,-15301,-14543,-14372,-14454,-14498,-14219,-13686,-7068,-7005
ECU,Ecuador,593,-8315,-8135,-7832,-6151,2288,14740,27063,49359,153372,71801,35894,92745
SLV,El Salvador,503,-54686,-53440,-50554,-49086,-49130,-51282,-47499,-50616,-54158,-55143,-25214,-42165
USA,Estados Unidos,200,1030731,1322433,1323368,1320840,1250914,1221849,1449371,1377630,1200796,1158444,675560,1076312
GTM,Guatemala,502,-36072,-33204,-32572,-35666,-40409,-48162,-39266,-48049,-56884,-58095,-23142,-48218
GUY,Guyana,592,-14327,-14512,-7152,-6912,-6715,-6524,-6311,-6110,30080,-24678,802,2441
HTI,Haiti,509,-28437,-29049,-29679,-30347,-31416,-32698,-33902,-34766,-35007,-34635,-33872,-36354
HND,Honduras,504,-5418,-5664,-5896,-6094,-6302,-6512,-6685,-6782,-6768,-6550,-6199,-6905
JAM,Jamaica,876,-14244,-12578,-11494,-11329,-11329,-11329,-11329,-11329,-11329,-11329,0,-6508
MEX,Mexico,52,-41156,4184,-48160,-101719,-100413,-82173,33094,-12438,-99430,-47764,-9949,-40183
NIC,Nicaragua,505,-29081,-28224,-27388,-26589,-25571,-24359,-23081,-21841,-20739,-19733,-10384,-14669
PAN,Panama,507,4953,5167,5447,5926,7105,8648,10109,11059,11130,10623,5473,10771
PRY,Paraguay,595,-26173,-20435,-17761,-17238,-16990,-16833,-16734,-16628,-16470,-16270,-8230,-11157
PER,Peru,51,-181284,-148270,-118758,-95149,-50381,2462,80725,104242,326831,136558,79456,247475
DOM,Republica Dominicana,809,-30489,-30572,-30615,-30563,-30449,-30310,-30181,-30055,-29944,-29830,-14966,-24331
URY,Uruguay,598,-7696,-6982,-6318,-5655,-4914,-4156,-3506,-3090,-2963,-2902,-1486,-1025
VEN,Venezuela,58,-52784,-54377,-55130,-57815,-62437,-77421,-283326,-817764,-1356759,-976460,-525142,-1030626
