country,tipo_ingreso
Antigua y Barbuda,alto
Argentina,mediano alto
Bahamas,alto
Barbados,alto
Belice,mediano alto
Bolivia,mediano bajo
Brasil,mediano alto
Canadá,alto
Chile,alto
Colombia,mediano alto
Costa Rica,mediano alto
Cuba,mediano alto
Dominica,mediano alto
Ecuador,mediano alto
El Salvador,mediano bajo
Estados Unidos,alto
Granada,mediano alto
Guatemala,mediano alto
Guyana,mediano alto
Haití,mediano bajo
Honduras,mediano bajo
Jamaica,mediano alto
México,mediano alto
Nicaragua,mediano bajo
Panamá,alto
Paraguay,mediano alto
Perú,mediano alto
República Dominicana,mediano alto
San Vicente y las Granadinas,mediano alto
Santa Lucía,mediano alto
Trinidad y Tobago,alto
Uruguay,alto
Venezuela,no clasificado
